"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 29 14:04:11 GMT 2023","Wed Nov 29 14:04:12 GMT 2023","1475","","Viewing List Customer Tests","","bankproject.feature.manager.ViewingListCustomerTest","managerViewListCustomerTable","Manager view list customer table",""
"passed","Wed Nov 29 14:04:17 GMT 2023","Wed Nov 29 14:04:24 GMT 2023","6929","","Customer Transactions Tests","","bankproject.feature.customer.CustomerTransactionsTest","customerResetsTheCustomerTransactions","Customer resets the customer transactions","Customer is able to remove all of the their transactions"
"passed","Wed Nov 29 14:04:17 GMT 2023","Wed Nov 29 14:04:24 GMT 2023","6850","","Customer Transactions Tests","","bankproject.feature.customer.CustomerTransactionsTest","customerDepositsMoneyWithValidAmount","Customer deposits money with valid amount",""
"passed","Wed Nov 29 14:04:08 GMT 2023","Wed Nov 29 14:04:09 GMT 2023","1378","","Opening Account Tests","","bankproject.feature.manager.OpeningAccountTest","managerIsUnableToOpenAccountWithoutCurrency","Manager is unable to open account without currency","Opening account validation of currency field"
"passed","Wed Nov 29 14:04:11 GMT 2023","Wed Nov 29 14:04:13 GMT 2023","2934","","Viewing List Customer Tests","","bankproject.feature.manager.ViewingListCustomerTest","managerDeleteTheCustomer","Manager delete the customer",""
"passed","Wed Nov 29 14:03:51 GMT 2023","Wed Nov 29 14:04:06 GMT 2023","15879","","Adding Customer Tests","","bankproject.feature.manager.AddingCustomerTest","managerIsUnableToAddCustomerWithTheEmptyFirstName","Manager is unable to add customer with the empty first name",""
"passed","Wed Nov 29 14:04:15 GMT 2023","Wed Nov 29 14:04:17 GMT 2023","1350","","Customer Login Tests","","bankproject.feature.customer.CustomerLoginTest","theLoginButtonIsShownWhenSelectYourName","The login button is shown when select your name",""
"passed","Wed Nov 29 14:04:26 GMT 2023","Wed Nov 29 14:04:28 GMT 2023","1813","","Viewing Customer Account Tests","","bankproject.feature.customer.ViewingCustomerAccountTest","customerViewsAccountInformationDetails","Customer view account information details",""
"passed","Wed Nov 29 14:03:51 GMT 2023","Wed Nov 29 14:04:08 GMT 2023","17022","","Adding Customer Tests","","bankproject.feature.manager.AddingCustomerTest","managerAddsCustomerWithValidCustomerInformation","Manager adds customer with valid customer information",""
"passed","Wed Nov 29 14:04:15 GMT 2023","Wed Nov 29 14:04:17 GMT 2023","1237","","Customer Login Tests","","bankproject.feature.customer.CustomerLoginTest","loginButtonIsHiddenInDefault","Login button is hidden in default","Customer login page hide the login button in default"
"passed","Wed Nov 29 14:04:14 GMT 2023","Wed Nov 29 14:04:15 GMT 2023","1698","","Customer Logout Tests","","bankproject.feature.customer.CustomerLogoutTest","customerLogOutSuccessfullyFromAccountPage","Customer log out successfully from account page",""
"passed","Wed Nov 29 14:04:17 GMT 2023","Wed Nov 29 14:04:26 GMT 2023","9054","","Customer Transactions Tests","","bankproject.feature.customer.CustomerTransactionsTest","customerWithdrawsMoneyWithValidAmount","Customer withdraws money with valid amount",""
"passed","Wed Nov 29 14:04:15 GMT 2023","Wed Nov 29 14:04:17 GMT 2023","1847","","Customer Login Tests","","bankproject.feature.customer.CustomerLoginTest","loginSuccessfullyWithValidCredential","Login successfully with valid credential",""
"passed","Wed Nov 29 14:04:15 GMT 2023","Wed Nov 29 14:04:17 GMT 2023","1363","","Customer Login Tests","","bankproject.feature.customer.CustomerLoginTest","loginButtonIsHiddenWhenDeselectYourName","Login button is hidden when deselect your name",""
"passed","Wed Nov 29 14:04:26 GMT 2023","Wed Nov 29 14:04:28 GMT 2023","1848","","Viewing Customer Account Tests","","bankproject.feature.customer.ViewingCustomerAccountTest","customerViewsTheOtherAccountInformationDetails","Customer views the other account information details",""
"passed","Wed Nov 29 14:03:51 GMT 2023","Wed Nov 29 14:04:06 GMT 2023","15877","","Adding Customer Tests","","bankproject.feature.manager.AddingCustomerTest","managerIsUnableToAddCustomerWithTheEmptyPostCode","Manager is unable to add customer with the empty post code",""
"passed","Wed Nov 29 14:04:14 GMT 2023","Wed Nov 29 14:04:15 GMT 2023","1829","","Customer Logout Tests","","bankproject.feature.customer.CustomerLogoutTest","customerLogOutSuccessfullyFromTransactionPage","Customer log out successfully from transaction page",""
"passed","Wed Nov 29 14:04:11 GMT 2023","Wed Nov 29 14:04:14 GMT 2023","3021","","Viewing List Customer Tests","","bankproject.feature.manager.ViewingListCustomerTest","managerCreateNewCustomer","Manager create new customer",""
"passed","Wed Nov 29 14:04:08 GMT 2023","Wed Nov 29 14:04:11 GMT 2023","2954","","Opening Account Tests","","bankproject.feature.manager.OpeningAccountTest","managerOpenAccountForTheCustomer","Manager open account for the customer",""
"passed","Wed Nov 29 14:03:51 GMT 2023","Wed Nov 29 14:04:06 GMT 2023","15885","","Adding Customer Tests","","bankproject.feature.manager.AddingCustomerTest","managerIsUnableToAddCustomerWithTheEmptyLastName","Manager is unable to add customer with the empty last name",""
"passed","Wed Nov 29 14:04:17 GMT 2023","Wed Nov 29 14:04:26 GMT 2023","8323","","Customer Transactions Tests","","bankproject.feature.customer.CustomerTransactionsTest","customerIsUnableToWithdrawTheMoneyThatExceedTheBalance","Customer is unable to withdraw the money that exceed the balance",""
"passed","Wed Nov 29 14:04:08 GMT 2023","Wed Nov 29 14:04:09 GMT 2023","1606","","Opening Account Tests","","bankproject.feature.manager.OpeningAccountTest","managerOpenAccountWithEmptyCustomerName","Manager is unable to open account with empty customer name","Opening account validation of customer name field"
