"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 29 14:15:29 GMT 2023","Wed Nov 29 14:15:30 GMT 2023","1318","","Customer Login Tests","","bankproject.feature.customer.CustomerLoginTest","theLoginButtonIsShownWhenSelectYourName","The login button is shown when select your name",""
"passed","Wed Nov 29 14:15:21 GMT 2023","Wed Nov 29 14:15:25 GMT 2023","3294","","Opening Account Tests","","bankproject.feature.manager.OpeningAccountTest","managerOpenAccountForTheCustomer","Manager open account for the customer",""
"passed","Wed Nov 29 14:15:27 GMT 2023","Wed Nov 29 14:15:29 GMT 2023","1710","","Customer Logout Tests","","bankproject.feature.customer.CustomerLogoutTest","customerLogOutSuccessfullyFromTransactionPage","Customer log out successfully from transaction page",""
"passed","Wed Nov 29 14:15:27 GMT 2023","Wed Nov 29 14:15:29 GMT 2023","1680","","Customer Logout Tests","","bankproject.feature.customer.CustomerLogoutTest","customerLogOutSuccessfullyFromAccountPage","Customer log out successfully from account page",""
"passed","Wed Nov 29 14:15:31 GMT 2023","Wed Nov 29 14:15:38 GMT 2023","7029","","Customer Transactions Tests","","bankproject.feature.customer.CustomerTransactionsTest","customerResetsTheCustomerTransactions","Customer resets the customer transactions","Customer is able to remove all of the their transactions"
"passed","Wed Nov 29 14:15:31 GMT 2023","Wed Nov 29 14:15:40 GMT 2023","9143","","Customer Transactions Tests","","bankproject.feature.customer.CustomerTransactionsTest","customerWithdrawsMoneyWithValidAmount","Customer withdraws money with valid amount",""
"passed","Wed Nov 29 14:15:14 GMT 2023","Wed Nov 29 14:15:20 GMT 2023","6075","","Adding Customer Tests","","bankproject.feature.manager.AddingCustomerTest","managerIsUnableToAddCustomerWithTheEmptyPostCode","Manager is unable to add customer with the empty post code",""
"passed","Wed Nov 29 14:15:21 GMT 2023","Wed Nov 29 14:15:23 GMT 2023","1513","","Opening Account Tests","","bankproject.feature.manager.OpeningAccountTest","managerOpenAccountWithEmptyCustomerName","Manager is unable to open account with empty customer name","Opening account validation of customer name field"
"passed","Wed Nov 29 14:15:29 GMT 2023","Wed Nov 29 14:15:31 GMT 2023","1876","","Customer Login Tests","","bankproject.feature.customer.CustomerLoginTest","loginSuccessfullyWithValidCredential","Login successfully with valid credential",""
"passed","Wed Nov 29 14:15:21 GMT 2023","Wed Nov 29 14:15:23 GMT 2023","2014","","Opening Account Tests","","bankproject.feature.manager.OpeningAccountTest","managerIsUnableToOpenAccountWithoutCurrency","Manager is unable to open account without currency","Opening account validation of currency field"
"passed","Wed Nov 29 14:15:14 GMT 2023","Wed Nov 29 14:15:20 GMT 2023","6096","","Adding Customer Tests","","bankproject.feature.manager.AddingCustomerTest","managerIsUnableToAddCustomerWithTheEmptyLastName","Manager is unable to add customer with the empty last name",""
"passed","Wed Nov 29 14:15:14 GMT 2023","Wed Nov 29 14:15:21 GMT 2023","7226","","Adding Customer Tests","","bankproject.feature.manager.AddingCustomerTest","managerAddsCustomerWithValidCustomerInformation","Manager adds customer with valid customer information",""
"passed","Wed Nov 29 14:15:29 GMT 2023","Wed Nov 29 14:15:30 GMT 2023","1348","","Customer Login Tests","","bankproject.feature.customer.CustomerLoginTest","loginButtonIsHiddenWhenDeselectYourName","Login button is hidden when deselect your name",""
"passed","Wed Nov 29 14:15:14 GMT 2023","Wed Nov 29 14:15:20 GMT 2023","6206","","Adding Customer Tests","","bankproject.feature.manager.AddingCustomerTest","managerIsUnableToAddCustomerWithTheEmptyFirstName","Manager is unable to add customer with the empty first name",""
"passed","Wed Nov 29 14:15:25 GMT 2023","Wed Nov 29 14:15:27 GMT 2023","2742","","Viewing List Customer Tests","","bankproject.feature.manager.ViewingListCustomerTest","managerCreateNewCustomer","Manager create new customer",""
"passed","Wed Nov 29 14:15:25 GMT 2023","Wed Nov 29 14:15:26 GMT 2023","1457","","Viewing List Customer Tests","","bankproject.feature.manager.ViewingListCustomerTest","managerViewListCustomerTable","Manager view list customer table",""
"passed","Wed Nov 29 14:15:40 GMT 2023","Wed Nov 29 14:15:42 GMT 2023","1710","","Viewing Customer Account Tests","","bankproject.feature.customer.ViewingCustomerAccountTest","customerViewsAccountInformationDetails","Customer view account information details",""
"passed","Wed Nov 29 14:15:29 GMT 2023","Wed Nov 29 14:15:30 GMT 2023","1207","","Customer Login Tests","","bankproject.feature.customer.CustomerLoginTest","loginButtonIsHiddenInDefault","Login button is hidden in default","Customer login page hide the login button in default"
"passed","Wed Nov 29 14:15:25 GMT 2023","Wed Nov 29 14:15:27 GMT 2023","2506","","Viewing List Customer Tests","","bankproject.feature.manager.ViewingListCustomerTest","managerDeleteTheCustomer","Manager delete the customer",""
"passed","Wed Nov 29 14:15:31 GMT 2023","Wed Nov 29 14:15:39 GMT 2023","8523","","Customer Transactions Tests","","bankproject.feature.customer.CustomerTransactionsTest","customerIsUnableToWithdrawTheMoneyThatExceedTheBalance","Customer is unable to withdraw the money that exceed the balance",""
"passed","Wed Nov 29 14:15:31 GMT 2023","Wed Nov 29 14:15:38 GMT 2023","6918","","Customer Transactions Tests","","bankproject.feature.customer.CustomerTransactionsTest","customerDepositsMoneyWithValidAmount","Customer deposits money with valid amount",""
"passed","Wed Nov 29 14:15:40 GMT 2023","Wed Nov 29 14:15:42 GMT 2023","1788","","Viewing Customer Account Tests","","bankproject.feature.customer.ViewingCustomerAccountTest","customerViewsTheOtherAccountInformationDetails","Customer views the other account information details",""
