"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Nov 29 14:01:53 GMT 2023","Wed Nov 29 14:01:53 GMT 2023","135","","Customer Logout Tests","","bankproject.feature.customer.CustomerLogoutTest","customerLogOutSuccessfullyFromAccountPage","Customer log out successfully from account page",""
"broken","Wed Nov 29 14:01:53 GMT 2023","Wed Nov 29 14:01:53 GMT 2023","155","","Customer Transactions Tests","","bankproject.feature.customer.CustomerTransactionsTest","customerResetsTheCustomerTransactions","Customer resets the customer transactions","Customer is able to remove all of the their transactions"
"broken","Wed Nov 29 14:01:53 GMT 2023","Wed Nov 29 14:01:53 GMT 2023","144","","Customer Login Tests","","bankproject.feature.customer.CustomerLoginTest","loginSuccessfullyWithValidCredential","Login successfully with valid credential",""
"broken","Wed Nov 29 14:01:49 GMT 2023","Wed Nov 29 14:01:52 GMT 2023","3217","","Adding Customer Tests","","bankproject.feature.manager.AddingCustomerTest","managerIsUnableToAddCustomerWithTheEmptyLastName","Manager is unable to add customer with the empty last name",""
"broken","Wed Nov 29 14:01:53 GMT 2023","Wed Nov 29 14:01:53 GMT 2023","150","","Opening Account Tests","","bankproject.feature.manager.OpeningAccountTest","managerOpenAccountForTheCustomer","Manager open account for the customer",""
"broken","Wed Nov 29 14:01:53 GMT 2023","Wed Nov 29 14:01:53 GMT 2023","147","","Viewing List Customer Tests","","bankproject.feature.manager.ViewingListCustomerTest","managerViewListCustomerTable","Manager view list customer table",""
"broken","Wed Nov 29 14:01:49 GMT 2023","Wed Nov 29 14:01:52 GMT 2023","3218","","Adding Customer Tests","","bankproject.feature.manager.AddingCustomerTest","managerIsUnableToAddCustomerWithTheEmptyPostCode","Manager is unable to add customer with the empty post code",""
"broken","Wed Nov 29 14:01:53 GMT 2023","Wed Nov 29 14:01:53 GMT 2023","141","","Viewing List Customer Tests","","bankproject.feature.manager.ViewingListCustomerTest","managerCreateNewCustomer","Manager create new customer",""
"broken","Wed Nov 29 14:01:49 GMT 2023","Wed Nov 29 14:01:52 GMT 2023","3217","","Adding Customer Tests","","bankproject.feature.manager.AddingCustomerTest","managerAddsCustomerWithValidCustomerInformation","Manager adds customer with valid customer information",""
"broken","Wed Nov 29 14:01:53 GMT 2023","Wed Nov 29 14:01:53 GMT 2023","145","","Customer Login Tests","","bankproject.feature.customer.CustomerLoginTest","loginButtonIsHiddenWhenDeselectYourName","Login button is hidden when deselect your name",""
"broken","Wed Nov 29 14:01:53 GMT 2023","Wed Nov 29 14:01:53 GMT 2023","162","","Customer Transactions Tests","","bankproject.feature.customer.CustomerTransactionsTest","customerWithdrawsMoneyWithValidAmount","Customer withdraws money with valid amount",""
"broken","Wed Nov 29 14:01:53 GMT 2023","Wed Nov 29 14:01:53 GMT 2023","132","","Customer Logout Tests","","bankproject.feature.customer.CustomerLogoutTest","customerLogOutSuccessfullyFromTransactionPage","Customer log out successfully from transaction page",""
"broken","Wed Nov 29 14:01:53 GMT 2023","Wed Nov 29 14:01:53 GMT 2023","156","","Opening Account Tests","","bankproject.feature.manager.OpeningAccountTest","managerOpenAccountWithEmptyCustomerName","Manager is unable to open account with empty customer name","Opening account validation of customer name field"
"broken","Wed Nov 29 14:01:53 GMT 2023","Wed Nov 29 14:01:53 GMT 2023","156","","Customer Login Tests","","bankproject.feature.customer.CustomerLoginTest","loginButtonIsHiddenInDefault","Login button is hidden in default","Customer login page hide the login button in default"
"broken","Wed Nov 29 14:01:53 GMT 2023","Wed Nov 29 14:01:53 GMT 2023","130","","Customer Transactions Tests","","bankproject.feature.customer.CustomerTransactionsTest","customerIsUnableToWithdrawTheMoneyThatExceedTheBalance","Customer is unable to withdraw the money that exceed the balance",""
"broken","Wed Nov 29 14:01:53 GMT 2023","Wed Nov 29 14:01:53 GMT 2023","147","","Customer Login Tests","","bankproject.feature.customer.CustomerLoginTest","theLoginButtonIsShownWhenSelectYourName","The login button is shown when select your name",""
"broken","Wed Nov 29 14:01:53 GMT 2023","Wed Nov 29 14:01:53 GMT 2023","165","","Customer Transactions Tests","","bankproject.feature.customer.CustomerTransactionsTest","customerDepositsMoneyWithValidAmount","Customer deposits money with valid amount",""
"broken","Wed Nov 29 14:01:53 GMT 2023","Wed Nov 29 14:01:53 GMT 2023","149","","Viewing List Customer Tests","","bankproject.feature.manager.ViewingListCustomerTest","managerDeleteTheCustomer","Manager delete the customer",""
"broken","Wed Nov 29 14:01:53 GMT 2023","Wed Nov 29 14:01:53 GMT 2023","141","","Opening Account Tests","","bankproject.feature.manager.OpeningAccountTest","managerIsUnableToOpenAccountWithoutCurrency","Manager is unable to open account without currency","Opening account validation of currency field"
"broken","Wed Nov 29 14:01:53 GMT 2023","Wed Nov 29 14:01:53 GMT 2023","124","","Viewing Customer Account Tests","","bankproject.feature.customer.ViewingCustomerAccountTest","customerViewsTheOtherAccountInformationDetails","Customer views the other account information details",""
"broken","Wed Nov 29 14:01:49 GMT 2023","Wed Nov 29 14:01:52 GMT 2023","3218","","Adding Customer Tests","","bankproject.feature.manager.AddingCustomerTest","managerIsUnableToAddCustomerWithTheEmptyFirstName","Manager is unable to add customer with the empty first name",""
"broken","Wed Nov 29 14:01:53 GMT 2023","Wed Nov 29 14:01:53 GMT 2023","125","","Viewing Customer Account Tests","","bankproject.feature.customer.ViewingCustomerAccountTest","customerViewsAccountInformationDetails","Customer view account information details",""
